Sexo;Categoria;Tempo Final;Ritmo;Distancia
Feminino;35-39;0:32:17.59;06:28;5
Masculino;18-24;0:32:18.31;06:28;5
Masculino;25-34;0:32:18.54;06:28;5
Masculino;45-49;0:32:19.04;06:28;5
Feminino;55-59;0:32:19.45;06:28;5
Masculino;60-64;0:32:22.52;06:28;5
Masculino;35-39;0:32:23.70;06:29;5
Feminino;25-34;0:32:25.15;06:29;5
Masculino;55-59;0:32:25.44;06:29;5
Feminino;60-64;0:32:26.12;06:29;5
Masculino;25-34;0:32:27.84;06:29;5
Feminino;35-39;0:32:27.86;06:29;5
Feminino;25-34;0:32:29.14;06:30;5
Feminino;35-39;0:32:29.67;06:30;5
Masculino;55-59;0:32:33.27;06:31;5
Masculino;60-64;0:32:35.53;06:31;5
Feminino;40-44;0:32:36.71;06:31;5
Feminino;40-44;0:32:37.29;06:31;5
Feminino;35-39;0:32:37.93;06:31;5
Feminino;35-39;0:32:39.37;06:32;5
Feminino;40-44;0:32:40.09;06:32;5
Feminino;25-34;0:32:40.82;06:32;5
Masculino;35-39;0:32:42.28;06:32;5
Feminino;18-24;0:32:43.05;06:32;5
Masculino;50-54;0:32:44.74;06:33;5
Feminino;40-44;0:32:45.49;06:33;5
Feminino;45-49;0:32:46.40;06:33;5
Masculino;45-49;0:32:46.87;06:33;5
Feminino;40-44;0:32:47.87;06:34;5
Masculino;25-34;0:32:48.70;06:34;5
Feminino;25-34;0:32:49.36;06:34;5
Feminino;18-24;0:32:50.38;06:34;5
Feminino;5K-PRFF;0:32:51.85;06:34;5
Feminino;35-39;0:32:52.61;06:34;5
Masculino;55-59;0:32:54.36;06:35;5
Masculino;45-49;0:32:55.86;06:35;5
Feminino;25-34;0:32:57.02;06:35;5
Feminino;45-49;0:32:57.45;06:35;5
Feminino;40-44;0:33:00.22;06:36;5
Feminino;60-64;0:33:00.57;06:36;5
Masculino;40-44;0:33:01.13;06:36;5
Feminino;35-39;0:33:01.43;06:36;5
Feminino;25-34;0:33:02.27;06:37;5
Feminino;45-49;0:33:02.77;06:37;5
Feminino;25-34;0:33:02.81;06:37;5
Feminino;25-34;0:33:04.07;06:37;5
Masculino;25-34;0:33:04.68;06:37;5
Feminino;35-39;0:33:07.36;06:37;5
Feminino;40-44;0:33:09.17;06:38;5
Feminino;50-54;0:33:11.62;06:38;5
Masculino;45-49;0:33:12.56;06:38;5
Feminino;25-34;0:33:13.11;06:38;5
Feminino;40-44;0:33:13.74;06:38;5
Feminino;18-24;0:33:13.78;06:38;5
Feminino;25-34;0:33:14.18;06:39;5
Feminino;25-34;0:33:14.89;06:39;5
Masculino;25-34;0:33:16.52;06:39;5
Feminino;25-34;0:33:16.88;06:39;5
Feminino;50-54;0:33:17.85;06:40;5
